    1   0.000000           :: → ff02::1:ff00:1 ICMPv6 86 Neighbor Solicitation for fe80::201:aff:fe00:1
    2  38.790580     10.0.0.1 → 10.0.0.2     TCP 74 42763 → 35722 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595171 TSecr=0 WS=512
    3  38.797286     10.0.0.1 → 10.0.0.2     TCP 66 42763 → 35722 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595178 TSecr=1886573260
    4  38.797888     10.0.0.1 → 10.0.0.2     TCP 74 36467 → 59433 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595179 TSecr=0 WS=512
    5  38.797919     10.0.0.1 → 10.0.0.2     TCP 103 42763 → 35722 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595179 TSecr=1886573260
    6  38.802047     10.0.0.1 → 10.0.0.2     TCP 66 36467 → 59433 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595183 TSecr=1886573266
    7  38.802093     10.0.0.1 → 10.0.0.2     TCP 103 36467 → 59433 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595183 TSecr=1886573266
    8  38.805394     10.0.0.1 → 10.0.0.2     TCP 66 42763 → 35722 [ACK] Seq=38 Ack=2 Win=37888 Len=0 TSval=1758595186 TSecr=1886573267
    9  38.805421     10.0.0.1 → 10.0.0.2     TCP 70 42763 → 35722 [PSH, ACK] Seq=38 Ack=2 Win=37888 Len=4 TSval=1758595186 TSecr=1886573267
   10  38.805712     10.0.0.1 → 10.0.0.2     TCP 66 36467 → 59433 [ACK] Seq=38 Ack=2 Win=37888 Len=0 TSval=1758595186 TSecr=1886573270
   11  38.805736     10.0.0.1 → 10.0.0.2     TCP 70 36467 → 59433 [PSH, ACK] Seq=38 Ack=2 Win=37888 Len=4 TSval=1758595186 TSecr=1886573270
   12  38.814197     10.0.0.1 → 10.0.0.2     TCP 74 39475 → 47452 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595195 TSecr=0 WS=512
   13  38.817041     10.0.0.1 → 10.0.0.2     TCP 74 51099 → 25904 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595198 TSecr=0 WS=512
   14  38.817682     10.0.0.1 → 10.0.0.2     TCP 74 58271 → 40783 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595198 TSecr=0 WS=512
   15  38.818218     10.0.0.1 → 10.0.0.2     TCP 66 39475 → 47452 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595199 TSecr=1886573281
   16  38.821465     10.0.0.1 → 10.0.0.2     TCP 74 55655 → 6776 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595202 TSecr=0 WS=512
   17  38.822775     10.0.0.1 → 10.0.0.2     TCP 103 39475 → 47452 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595203 TSecr=1886573281
   18  38.824965     10.0.0.1 → 10.0.0.2     TCP 74 47085 → 46356 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595206 TSecr=0 WS=512
   19  38.825266     10.0.0.1 → 10.0.0.2     TCP 74 49189 → 42968 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595206 TSecr=0 WS=512
   20  38.826533     10.0.0.1 → 10.0.0.2     TCP 66 51099 → 25904 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595207 TSecr=1886573285
