    1   0.000000           :: → ff02::1:ff94:36a1 ICMPv6 86 Neighbor Solicitation for fe80::fcf2:eaff:fe94:36a1
    2  38.879581     10.0.0.2 → 10.0.0.1     TCP 74 35722 → 42763 [SYN, ACK] Seq=0 Ack=1 Win=37792 Len=0 MSS=9460 SACK_PERM TSval=1886573260 TSecr=1758595171 WS=512
    3  38.885329     10.0.0.2 → 10.0.0.1     TCP 74 59433 → 36467 [SYN, ACK] Seq=0 Ack=1 Win=37792 Len=0 MSS=9460 SACK_PERM TSval=1886573266 TSecr=1758595179 WS=512
    4  38.885544     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 42763 [ACK] Seq=1 Ack=38 Win=37888 Len=0 TSval=1886573266 TSecr=1758595179
    5  38.889265     10.0.0.2 → 10.0.0.1     TCP 67 59433 → 36467 [PSH, ACK] Seq=1 Ack=38 Win=37888 Len=1 TSval=1886573270 TSecr=1758595183
    6  38.913939     10.0.0.2 → 10.0.0.1     TCP 74 6776 → 55655 [SYN, ACK] Seq=0 Ack=1 Win=37792 Len=0 MSS=9460 SACK_PERM TSval=1886573293 TSecr=1758595202 WS=512
    7  38.918929     10.0.0.2 → 10.0.0.1     TCP 67 40783 → 58271 [PSH, ACK] Seq=1 Ack=1 Win=74 Len=1 TSval=1886573298 TSecr=1758595208
    8  38.919451     10.0.0.2 → 10.0.0.1     TCP 74 42968 → 49189 [SYN, ACK] Seq=0 Ack=1 Win=37792 Len=0 MSS=9460 SACK_PERM TSval=1886573298 TSecr=1758595206 WS=512
    9  38.921477     10.0.0.2 → 10.0.0.1     TCP 67 25904 → 51099 [PSH, ACK] Seq=1 Ack=1 Win=74 Len=1 TSval=1886573299 TSecr=1758595208
   10  38.923054     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55655 [ACK] Seq=1 Ack=38 Win=37888 Len=0 TSval=1886573304 TSecr=1758595212
   11  38.923857     10.0.0.2 → 10.0.0.1     TCP 67 6776 → 55655 [PSH, ACK] Seq=1 Ack=38 Win=37888 Len=1 TSval=1886573304 TSecr=1758595212
   12  38.928724     10.0.0.2 → 10.0.0.1     TCP 67 46356 → 47085 [PSH, ACK] Seq=1 Ack=1 Win=74 Len=1 TSval=1886573309 TSecr=1758595217
   13  38.933202     10.0.0.2 → 10.0.0.1     TCP 66 [TCP Previous segment not captured] 35722 → 42763 [ACK] Seq=2 Ack=42 Win=37888 Len=0 TSval=1886573314 TSecr=1758595186
   14  38.935582     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 42763 [ACK] Seq=2 Ack=159 Win=37888 Len=0 TSval=1886573316 TSecr=1758595230
   15  38.935840     10.0.0.2 → 10.0.0.1     TCP 67 35722 → 42763 [PSH, ACK] Seq=2 Ack=159 Win=37888 Len=1 TSval=1886573316 TSecr=1758595230
   16  38.936646     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 36467 [ACK] Seq=2 Ack=42 Win=37888 Len=0 TSval=1886573318 TSecr=1758595186
   17  38.945208     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 36467 [ACK] Seq=2 Ack=159 Win=37888 Len=0 TSval=1886573320 TSecr=1758595234
   18  38.992885     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 39475 [ACK] Seq=1 Ack=1 Win=74 Len=0 TSval=1886573358 TSecr=1758595212
   19  39.001519     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55655 [ACK] Seq=2 Ack=42 Win=37888 Len=0 TSval=1886573358 TSecr=1758595223
   20  39.002469     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 51099 [ACK] Seq=2 Ack=5 Win=74 Len=0 TSval=1886573358 TSecr=1758595223
